title,brand,description,price,categories,images,manufacturer,package_dimensions,country_of_origin,material,color,uniq_id
"Folews Bathroom Organizer Over The Toilet Storage, 4-Tier Bathroom Shelves Over Toilet Shelf Above Toilet Storage Rack Freestanding Bathroom Space Saver Adjustable Shelves and Baskets, Black",Folews Store,,$63.99,"['Home & Kitchen', 'Furniture', 'Bathroom Furniture', 'Over-the-Toilet Storage']","['https://m.media-amazon.com/images/I/41ixgM73DgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41WLiP-jOaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41i3PONnKTL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31U4qzySmeL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51pJLCJgtZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CkG4IzRnL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71D2M6vIXAL.SS125_SS522_.jpg']",Folews,"12.6""D x 25.2""W x 68.5""H",China,,,aba4138e-6401-52ca-a099-02e30b638db4
"Lerliuo Nightstand, Side Table, Industrial Bedside Table with 2 Drawers and Open Shelf, Grey Night Stand, End Table with Steel Frame for Bedroom, Dorm, Gray/Black 23.6''H",Lerliuo Store,,$39.99,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Nightstands']","['https://m.media-amazon.com/images/I/41IzLmM91FL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51J83+zKGCL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51W89bfhZgL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51GOSVUqhwL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51I8IT3uVlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/519ySpbhZiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/81MKjKUvxhL.SS125_SS522_.jpg']",,"13.78""D x 17.72""W x 23.62""H",,Stone,Grey,fa87da9a-a8cf-51d7-895f-d64b75ee02a3
Boss Office Products Any Task Mid-Back Task Chair with Loop Arms in Grey,Boss Office Products Store,"Mid-back styling with firm lumbar support. Elegant styling upholstered with commercial grade fabric. Sculptured seat cushion made from molded foam that contours to the shape of your body. Ratchet back height adjustment mechanism which allows perfect positioning of the back cushion and lumbar support. Standard loop arms. Large 27"" nylon base for greater stability. Pneumatic gas lift provides instant height adjustment of the seat. Adjustable tilt tension that accommodates all different size users. Hooded double wheel casters. Upright locking position. Available in four fabric colors.",,"['Home & Kitchen', 'Furniture', 'Home Office Furniture', 'Home Office Chairs', 'Home Office Desk Chairs']","['https://m.media-amazon.com/images/I/41rMElFrXBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41-yJNTT1FL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KihITH3RL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41rsTeqjQzL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/415MF2xZb5L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/313Q3Psk1ZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31nPgB9zy5L._SS522_.jpg']",No,"27""D x 26""W x 41""H",,Foam,Grey,a0a69530-a944-589d-a036-90358cb9e485
"Kingston Brass BA1752BB Heritage 18-Inch Towel-Bar, Brushed Brass",Kingston Brass Store,"Hang your towels in style with the chic appeal of the Kingston Brass Heritage Towel Bar. Available in multiple finishes, this 18"" bar can quickly become an essential piece of your bathroom design. Pair with other accessories from the Heritage Collection.",,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Towel Bars']","['https://m.media-amazon.com/images/I/21opezr3bUL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31HlJoUxwcL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41POu+Y--iL._SS522_.jpg']",Kingston Brass,20.5 x 3.5 x 2.5 inches,Taiwan,Brass,Brushed Brass,cf4086a8-d611-56f1-ba50-4f2ac2670b42
Chief Mfg.Swing-Arm Wall Mount Hardware Mount Black (TS218SU),Chief Store,"The Chief TS218SU Thin stall Dual Swing-Arm Wall Mount is designed to mount flat-panel displays measuring 26 to 47"" with a maximum weight of 75 lb. Its distance from the wall can range from 1.5 to 18"" and it provides -12 to 0 Degree of tilt and up to 1"" of height adjustment. It can pivot up to 180 Degree depending on the width of your mounted display, and also offers post-installation leveling.",$260.80,"['Electronics', 'Television & Video', 'Accessories', 'TV Mounts, Stands & Turntables', 'TV Wall & Ceiling Mounts']","['https://m.media-amazon.com/images/I/41HxUoRXloL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41O0tbqtVfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41apCz-5USL._SS522_.jpg']",No,2 x 14 x 20 inches,,,Black,4129440e-cfff-5498-b9d6-16ec18b0a285
"DOMYDEVM Black End Table, Nightstand with Charging Station, Bedside Table with Drawer, Small Side Table with USB Ports and Outlets for Bedroom",DOMYDEVM Store,,$46.99,"['Home & Kitchen', 'Furniture', 'Living Room Furniture', 'Tables', 'End Tables']","['https://m.media-amazon.com/images/I/41YrmN-yOEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ySXwNCU7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/418lxFzHARL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51HMXH0NWSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31diULoiHdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51O4kVaFcmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/71rbaYe0wnL.SS125_SS522_.jpg']",,"11.81""D x 15.75""W x 23.62""H",,Metal,Black,d553e7ea-4dce-5147-8534-3230f5e7848d
"LASCO 35-5019 Hallmack Style 24-Inch Towel Bar Accessory, All Metal Construction, Chrome Plated Finish",LASCO,"Product Description   LASCO 35-5019 Hallmack Style 24-Inch Towel Bar Accessory, All Metal Construction, Chrome Plated Finish. This high quality, stylish and easy to install 24-inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish. All hardware included. Mounting screws are concealed after installation for clean 'screw less' look! Larsen Supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16,000 bulk SKU's. We pride ourselves on service, selection and support. Please revert to retail place of purchase for resolution of any possible plumbing questions..   From the Manufacturer   LASCO 35-5019 Hallmack Style 24-Inch Towel Bar Accessory, All Metal Construction, Chrome Plated Finish. This high quality, stylish and easy to install 24-inch towel bar bathroom accessory is constructed of solid metal and comes in a chrome plated finish. All hardware included. Mounting screws are concealed after installation for clean 'screw less' look! Larsen Supply is a third generation family owned and operated company with over 80 years of experience has the largest retail plumbing line in the industry today with over 7000 packaged and 16,000 bulk SKU's. We pride ourselves on service, selection and support! All Lasco merchandise is warranted to be free of manufacturing defects. Please revert to retail place of purchase for resolution of any possible plumbing questions, warranty or defective part replacement.",,"['Tools & Home Improvement', 'Hardware', 'Bathroom Hardware', 'Towel Bars']",['https://m.media-amazon.com/images/I/31rrpY5EJOL._SS522_.jpg'],LASCO,1.5 x 3.25 x 26.25 inches,China,Metal,Chrome,7e2fae41-2f67-5363-a013-9a3854be6630
"Table-Mate II PRO TV Tray Table - Folding Table with Cup Holder and Tablet Slot- Couch Desk for Working from Home, TV Trays for Eating, Portable and Adjustable TV Table, Slate Gray",Table-Mate Store,,$53.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Folding Tables & Chairs', 'Folding Tables']","['https://m.media-amazon.com/images/I/31cbTc2VhaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51iLRDni3SL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511IENAhEfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51CwGvaB36L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51lPfhecHFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/517NNSqzt8L._SS522_.jpg']",Table-Mate,"15""D x 21""W x 29""H",China,,Slate Gray,6ed419d5-318a-5013-a0c4-d182d6ad6471
EGFheal White Dress Up Storage,EGFheal,White Dress Up Storage,,"['Home & Kitchen', 'Furniture', 'Bedroom Furniture', 'Bedroom Armoires']","['https://m.media-amazon.com/images/I/31l+OVMKBFL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/510aFU231KL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31hz-89KKNL._SS522_.jpg']",EGFheal,32 x 19 x 45 inches,China,,,17f320a4-fc0c-5bf3-969e-3e7823b85c57
"Caroline's Treasures PPD3013JMAT Enchanted Garden Flowers Doormat 24x36 Front Door Mat Indoor Outdoor Rugs for Entryway, Non Slip Washable Low Pile, 24H X 36W",Caroline's Treasures Store,"Welcome your family and friends with this Artwork mat in full color. This action backed mat with hold up in almost any weather condition. This door mat measures about 24 inches by 36 inches and has a black binding tape to hold it's many layers together. The top layer is a polyester felt that is dyed with the image that you see on the mat. The next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping. To clean this mat, hose it off with a water hose or use a powerwasher. Do not use any cleaner that produces suds.",,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51Zn-AivGrL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51KczSA8RxL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51-LvXau6sL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51SsV7oKOHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z8nxChtWL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41dYQSczuqL._SS522_.jpg']",Caroline's Treasures,"36""L x 24""W",USA,Rubber,Enchanted Garden Flowers,8f491435-a1c3-5c48-ad17-b8ebfde82fe9
"Leick Home 70007-WTGD Mixed Metal and Wood Stepped Tier Bookshelf, White Herringbone/Satin Gold",Leick Home Store,"Smooth, satin gold metal side supports are combined with herringbone textured white laminated shelf surfaces in this compact bookcase or hallstand. The perfect solution for small spaces in apartments, condos, or anywhere space is hard to come by. At only 12 inches deep, this space saver hugs the wall and stacks three layers of shelves in a beautiful stepped design. With simple assembly in just minutes, this sturdy, versatile and eye-catching bookshelf is at your service. Designed and manufactured by Leick Home, the trusted source for quality home furnishings for every taste and budget.",,"['Home & Kitchen', 'Furniture', 'Home Office Furniture', 'Bookcases']","['https://m.media-amazon.com/images/I/31XhtLE1F1L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31P5IpUuZpS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31+AyqdiGjS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31d0QTUZ5GL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41S76eNREIL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Aq1cjlKkL.SS125_SS522_.jpg']","Leick Furniture, Incorporated","12""D x 32""W x 30.5""H",China,,,7254e915-73f6-5992-b727-56ac68f60847
"Caroline's Treasures CK3435MAT Bichon Frise Doormat 18x27 Front Door Mat Indoor Outdoor Rugs for Entryway, Non Slip Washable Low Pile, 18H X 27W",Caroline's Treasures Store,"Welcome your family and friends with this Artwork mat in full color. This action backed mat with hold up in almost any weather condition. This door mat measures about 18 inches by 27 inches and has a black binding tape to hold it's many layers together. The top layer is a polyester felt that is dyed with the image that you see on the mat. The next couple of layers give the mat stability and the bottom of the mat is rubber that has been stamped to help prevent slipping. To clean this mat, hose it off with a water hose or use a powerwasher. Do not use any cleaner that produces suds.",,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Doormats']","['https://m.media-amazon.com/images/I/51V1IWRrXHL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514YwvmLkpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51oPAizyXaL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51kJA6JeRrL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Z8nxChtWL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/415ysOu4kdL._SS522_.jpg']",Caroline's Treasures,"0.25""L x 18""W",USA,Rubber,Bichon Frise,6b7557a1-43b8-5aec-9d97-582b567fee71
"Wildkin Kids Canvas Sling Bookshelf with Storage for Boys and Girls, Wooden Design Features Four Shelves and Two Drawers, Helps Keep Bedrooms, Playrooms, and Classrooms Organized (Natural with Blue)",Wildkin Store,"Add Wildkin’s Sling Bookshelf with Storage to any room to help children of all ages maintain and organize items in their play space. The convenient and easy design makes this bookshelf the perfect gift for young readers in your life. Measuring 24.4 x 12 x 27.5 inches, Wildkin’s Sling Bookshelf with Storage is small enough to fit anywhere in your home, yet large enough to house all your favorite books, magazines, paintings, and more. Each bookshelf features five sling shelves and two bottom pull out drawers, complete with handles. Your child will love that their bookshelf gives them a variety of storage options. Each Sling Bookshelf with Storage is made from ultra-durable Melamine Faced Chipboard and MDF board, complete with metal poles. High-quality polyester fabric shelves and drawers make the Sling Bookshelf the perfect solution for avoiding book damage, while helping children to easily identify and access their favorite items. Classrooms and libraries are not the only places books belong. The Sling Bookshelf with Storage’s sleek and compact design will make you want to add a second or third piece to your home to meet all your book storage needs. The timeless design of Wildkin’s Sling Bookshelf with Storage makes it an ideal choice for organizing more than just books. This piece can be a home for anything from books and magazines to paintings and writings. The possibilities are endless! 90-day manufacturer's warranty against defects - normal wear-and-tear, and misuse excluded. Rigorously tested to ensure that all parts are lead-safe, bpa-free, phthalate-free, and conform to all rules and regulations set forth by the Consumer Products Safety Commission.",,"['Home & Kitchen', 'Furniture', ""Kids' Furniture"", 'Bookcases, Cabinets & Shelves']","['https://m.media-amazon.com/images/I/51-GsdoM+IS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31A+MlJNPPS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51NN55v6ffS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41fFYNH5xvS._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41NI9bTlL1S._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51Ils5HEk7L.SS40_SS522_.jpg']",Wildkin Toys,"12""D x 24.4""W x 27.5""H",,"Engineered Wood, Polyester",,4fdbca90-1957-5f1f-a306-4fb1e2ece45f
